Plot	Plot_bexis	Function_Name	Function_Year	Value	Year	Dataset_ID	Dataset_Version
AEW15	AEW15	aboveground_N	aboveground_N	0.173144343	4444	4444	4444
AEW02	AEW2	aboveground_N	aboveground_N	0.878294045	4444	4444	4444
AEW14	AEW14	aboveground_N	aboveground_N	1.069042957	4444	4444	4444
AEW11	AEW11	aboveground_N	aboveground_N	1.219485592	4444	4444	4444
HEW15	HEW15	aboveground_N	aboveground_N	0.285730672	4444	4444	4444
AEW08	AEW8	aboveground_N	aboveground_N	0.824811665	4444	4444	4444
HEW16	HEW16	aboveground_N	aboveground_N	0.432775251	4444	4444	4444
AEW47	AEW47	aboveground_N	aboveground_N	0.739734044	4444	4444	4444
AEW06	AEW6	aboveground_N	aboveground_N	0.627903674	4444	4444	4444
AEW03	AEW3	aboveground_N	aboveground_N	0.960176308	4444	4444	4444
AEW38	AEW38	aboveground_N	aboveground_N	0.265284622	4444	4444	4444
SEW43	SEW43	aboveground_N	aboveground_N	0.661623705	4444	4444	4444
AEW05	AEW5	aboveground_N	aboveground_N	0.615932621	4444	4444	4444
AEW36	AEW36	aboveground_N	aboveground_N	0.352304541	4444	4444	4444
HEW27	HEW27	aboveground_N	aboveground_N	0.678922337	4444	4444	4444
AEW25	AEW25	aboveground_N	aboveground_N	0.167342266	4444	4444	4444
SEW08	SEW8	aboveground_N	aboveground_N	1.224061264	4444	4444	4444
AEW48	AEW48	aboveground_N	aboveground_N	0.68264205	4444	4444	4444
HEW46	HEW46	aboveground_N	aboveground_N	0.827574277	4444	4444	4444
AEW44	AEW44	aboveground_N	aboveground_N	0.375834164	4444	4444	4444
SEW04	SEW4	aboveground_N	aboveground_N	0.466728835	4444	4444	4444
SEW44	SEW44	aboveground_N	aboveground_N	0.470988808	4444	4444	4444
AEW07	AEW7	aboveground_N	aboveground_N	0.85143407	4444	4444	4444
AEW43	AEW43	aboveground_N	aboveground_N	0.491716351	4444	4444	4444
AEW16	AEW16	aboveground_N	aboveground_N	0.246160903	4444	4444	4444
AEW23	AEW23	aboveground_N	aboveground_N	0.615754207	4444	4444	4444
HEW13	HEW13	aboveground_N	aboveground_N	0.819803553	4444	4444	4444
HEW02	HEW2	aboveground_N	aboveground_N	0.738899574	4444	4444	4444
HEW33	HEW33	aboveground_N	aboveground_N	0.788695849	4444	4444	4444
HEW22	HEW22	aboveground_N	aboveground_N	0.90801121	4444	4444	4444
